audio_path,language,category,condition,reference_text,duration_sec
datasets/evaluation/hi/0_clean_evacuation.wav,hi,evacuation,clean,बाढ़ का पानी बढ़ रहा है तुरंत खाली करें,2.73
datasets/evaluation/hi/0_drone_0db_evacuation.wav,hi,evacuation,drone_0db,बाढ़ का पानी बढ़ रहा है तुरंत खाली करें,2.73
datasets/evaluation/hi/0_telephone_g711_evacuation.wav,hi,evacuation,telephone_g711,बाढ़ का पानी बढ़ रहा है तुरंत खाली करें,2.73
datasets/evaluation/hi/0_artillery_blast_evacuation.wav,hi,evacuation,artillery_blast,बाढ़ का पानी बढ़ रहा है तुरंत खाली करें,2.73
datasets/evaluation/hi/0_whisper_low_evacuation.wav,hi,evacuation,whisper_low,बाढ़ का पानी बढ़ रहा है तुरंत खाली करें,2.73
datasets/evaluation/hi/0_urgent_fast_evacuation.wav,hi,evacuation,urgent_fast,बाढ़ का पानी बढ़ रहा है तुरंत खाली करें,2.69
datasets/evaluation/hi/1_clean_medical.wav,hi,medical,clean,चिकित्सा आपातकाल तत्काल सहायता चाहिए,3.12
datasets/evaluation/hi/1_drone_0db_medical.wav,hi,medical,drone_0db,चिकित्सा आपातकाल तत्काल सहायता चाहिए,3.12
datasets/evaluation/hi/1_telephone_g711_medical.wav,hi,medical,telephone_g711,चिकित्सा आपातकाल तत्काल सहायता चाहिए,3.12
datasets/evaluation/hi/1_artillery_blast_medical.wav,hi,medical,artillery_blast,चिकित्सा आपातकाल तत्काल सहायता चाहिए,3.12
datasets/evaluation/hi/1_whisper_low_medical.wav,hi,medical,whisper_low,चिकित्सा आपातकाल तत्काल सहायता चाहिए,3.12
datasets/evaluation/hi/1_urgent_fast_medical.wav,hi,medical,urgent_fast,चिकित्सा आपातकाल तत्काल सहायता चाहिए,2.78
datasets/evaluation/hi/2_clean_checkin.wav,hi,checkin,clean,नमस्ते आप कैसे हैं यह वाणी सेतु है,3.11
datasets/evaluation/hi/2_drone_0db_checkin.wav,hi,checkin,drone_0db,नमस्ते आप कैसे हैं यह वाणी सेतु है,3.11
datasets/evaluation/hi/2_telephone_g711_checkin.wav,hi,checkin,telephone_g711,नमस्ते आप कैसे हैं यह वाणी सेतु है,3.11
datasets/evaluation/hi/2_artillery_blast_checkin.wav,hi,checkin,artillery_blast,नमस्ते आप कैसे हैं यह वाणी सेतु है,3.11
datasets/evaluation/hi/2_whisper_low_checkin.wav,hi,checkin,whisper_low,नमस्ते आप कैसे हैं यह वाणी सेतु है,3.11
datasets/evaluation/hi/2_urgent_fast_checkin.wav,hi,checkin,urgent_fast,नमस्ते आप कैसे हैं यह वाणी सेतु है,2.86
datasets/evaluation/bn/0_clean_evacuation.wav,bn,evacuation,clean,বন্যার জল বাড়ছে অবিলম্বে খালি করুন,2.88
datasets/evaluation/bn/0_drone_0db_evacuation.wav,bn,evacuation,drone_0db,বন্যার জল বাড়ছে অবিলম্বে খালি করুন,2.88
datasets/evaluation/bn/0_telephone_g711_evacuation.wav,bn,evacuation,telephone_g711,বন্যার জল বাড়ছে অবিলম্বে খালি করুন,2.88
datasets/evaluation/bn/0_artillery_blast_evacuation.wav,bn,evacuation,artillery_blast,বন্যার জল বাড়ছে অবিলম্বে খালি করুন,2.88
datasets/evaluation/bn/0_whisper_low_evacuation.wav,bn,evacuation,whisper_low,বন্যার জল বাড়ছে অবিলম্বে খালি করুন,2.88
datasets/evaluation/bn/0_urgent_fast_evacuation.wav,bn,evacuation,urgent_fast,বন্যার জল বাড়ছে অবিলম্বে খালি করুন,2.48
datasets/evaluation/bn/1_clean_medical.wav,bn,medical,clean,জরুরী চিকিৎসা প্রয়োজন অবিলম্বে দল পাঠান,3.86
datasets/evaluation/bn/1_drone_0db_medical.wav,bn,medical,drone_0db,জরুরী চিকিৎসা প্রয়োজন অবিলম্বে দল পাঠান,3.86
datasets/evaluation/bn/1_telephone_g711_medical.wav,bn,medical,telephone_g711,জরুরী চিকিৎসা প্রয়োজন অবিলম্বে দল পাঠান,3.86
datasets/evaluation/bn/1_artillery_blast_medical.wav,bn,medical,artillery_blast,জরুরী চিকিৎসা প্রয়োজন অবিলম্বে দল পাঠান,3.86
datasets/evaluation/bn/1_whisper_low_medical.wav,bn,medical,whisper_low,জরুরী চিকিৎসা প্রয়োজন অবিলম্বে দল পাঠান,3.86
datasets/evaluation/bn/1_urgent_fast_medical.wav,bn,medical,urgent_fast,জরুরী চিকিৎসা প্রয়োজন অবিলম্বে দল পাঠান,3.43
datasets/evaluation/bn/2_clean_checkin.wav,bn,checkin,clean,নমস্কার আপনি কেমন আছেন এটি বাণী সেতু,3.41
datasets/evaluation/bn/2_drone_0db_checkin.wav,bn,checkin,drone_0db,নমস্কার আপনি কেমন আছেন এটি বাণী সেতু,3.41
datasets/evaluation/bn/2_telephone_g711_checkin.wav,bn,checkin,telephone_g711,নমস্কার আপনি কেমন আছেন এটি বাণী সেতু,3.41
datasets/evaluation/bn/2_artillery_blast_checkin.wav,bn,checkin,artillery_blast,নমস্কার আপনি কেমন আছেন এটি বাণী সেতু,3.41
datasets/evaluation/bn/2_whisper_low_checkin.wav,bn,checkin,whisper_low,নমস্কার আপনি কেমন আছেন এটি বাণী সেতু,3.41
datasets/evaluation/bn/2_urgent_fast_checkin.wav,bn,checkin,urgent_fast,নমস্কার আপনি কেমন আছেন এটি বাণী সেতু,3.05
datasets/evaluation/ta/0_clean_evacuation.wav,ta,evacuation,clean,வெள்ள நீர் உயர்கிறது உடனடியாக வெளியேறுங்கள்,2.59
datasets/evaluation/ta/0_drone_0db_evacuation.wav,ta,evacuation,drone_0db,வெள்ள நீர் உயர்கிறது உடனடியாக வெளியேறுங்கள்,2.59
datasets/evaluation/ta/0_telephone_g711_evacuation.wav,ta,evacuation,telephone_g711,வெள்ள நீர் உயர்கிறது உடனடியாக வெளியேறுங்கள்,2.59
